file,window_idx,t_start_sec,label,band_0_10_energy,band_10_20_energy,band_20_40_energy,band_40_60_energy,band_60_80_energy,band_80_120_energy,band_120_200_energy
session_mix_1.csv,0,0.0,0,4133145.781348069,110.49097088422191,390.63494004445425,349.61466089721563,146.82030183292494,127.11935009352524,272.7848222473231
session_mix_1.csv,1,2.0,0,4211071.518425828,5033.882099481812,10887.259758890741,1708.1040006773608,593.5649110958744,1047.126879593719,1639.6488191975923
session_mix_1.csv,2,4.0,0,4189052.829205546,392.7508685337324,281.60633905325744,53.88283267415791,13.21383004132751,26.20730948341363,30.39413428043808
session_mix_1.csv,3,6.0,1,4175724.6101028915,73644.1404341957,24922.962560468237,4192.780223669027,1331.7999032466814,2280.46288297106,2163.118364175544
session_mix_1.csv,4,8.0,1,4287810.187913815,10572.549954280574,4477.1727825396265,424.5798314758982,327.976791726163,441.8157399836444,519.7652175972826
session_mix_1.csv,5,10.0,1,6422139.953188663,146772.22103196554,63065.90695136148,10691.265502783273,7699.55515690447,6871.518154475663,6939.049569198198
session_mix_1.csv,6,12.0,0,4159067.4068345567,1742.7136069235112,7319.630003753089,287.5326019929742,237.4079394619938,126.2327450167516,148.74024448357517
session_mix_1.csv,7,14.0,1,6714268.721172781,165513.9148694734,41397.88279444971,10649.51567173457,1576.9334246984715,4811.400109981154,3487.135975104701
session_mix_1.csv,8,16.0,0,4129451.145280453,12462.068486430377,14670.82694970441,3367.8938339974475,1749.0595516781987,951.744562114108,684.8916492550064
session_mix_1.csv,9,18.0,0,4203199.920131305,4889.044906457604,9978.098325307892,4551.002429278985,2072.3883179323434,2344.4769257740654,1886.223999721473
session_mix_1.csv,10,20.0,0,4166935.381486829,88.69325525795591,304.87979152385554,356.1411740584073,178.0130250638712,107.02276490196195,77.16106177795486
session_mix_1.csv,11,22.0,0,4159900.2774149883,88.29256330768186,126.89496490916865,122.77720468212743,122.8875126599151,121.48785466402413,55.26438244159114
session_mix_2.csv,0,0.0,0,4129521.385045954,7.667828365473198,7.134891382841365,12.217012983787688,7.737659705381743,11.210383403248873,20.027532559198335
session_mix_2.csv,1,2.0,0,4135735.0462555746,1446.0605732937788,3075.890201917895,196.58734021332538,89.26644605805376,72.7027537037357,75.6402776059444
session_mix_2.csv,2,4.0,0,4220985.217652459,4517.343359026836,8121.1220235194305,1402.751944957003,458.7932006293941,297.11772753838034,357.03326476185043
session_mix_2.csv,3,6.0,0,4191108.851729345,2946.317298714582,8651.026334757706,3315.1628210400163,744.4781049435874,596.2674737641382,514.952867898174
session_mix_2.csv,4,8.0,1,4737088.492899766,20612.187430683214,20279.649440648474,4452.216737865107,3134.247180209586,4109.108551981784,9820.82037558559
session_mix_2.csv,5,10.0,0,4117419.366001589,2841.6584727828986,2371.884661426596,352.4721546678915,169.03455913681813,144.51029155071825,146.9549605648627
session_mix_2.csv,6,12.0,1,4218814.502769332,16336.66435457623,16967.138936277035,2415.990392038303,727.039001647891,1093.4821294248159,650.5736084494783
session_mix_2.csv,7,14.0,1,4114252.3588395,31535.0054754629,17852.37223158734,3652.425913211294,854.6653225952143,884.4708655673057,952.0873506238435
session_mix_2.csv,8,16.0,1,4247009.182276219,11301.262894111338,17056.01228448764,1750.634578368378,1153.2278332649712,602.1620773596921,646.2152080823278
session_mix_2.csv,9,18.0,1,4492638.025796906,76435.83273569414,49345.96433266934,11123.911780205617,10213.340152133092,10445.33182563418,4727.953331732547
session_mix_2.csv,10,20.0,0,4200614.823166231,6463.191514413437,1400.598504144083,375.0382872301569,392.2051976609066,175.48108283467275,534.5907272002435
session_mix_2.csv,11,22.0,0,4158277.232429744,3099.503165964821,336.5814718467707,120.94226844908637,35.17421338303758,62.05931864642512,42.0029739886058
