file,start_sample,t_start_sec,label,band_0_4,band_4_8,band_12_20,band_20_40,band_40_80,g_rms,g_max,jerk_rms,jerk_max,ax_last,ay_last,az_last
session_mix_1.csv,0,0.0,0,0.19683845154824106,0.2145908452244347,0.36298937931348857,0.5523326781303276,0.6257293463312804,1.0149511305363268,1.061320295083848,7.30485479242288,75.72664813668028,-0.0400390625,0.247802734375,0.958740234375
session_mix_1.csv,256,0.256,0,0.14606762478178165,0.34225155637547905,0.5595545078230316,1.188805206605846,1.0671561743300668,1.0146874203687788,1.0635819816358594,9.360980344415344,75.72664813668028,-0.044189453125,0.220947265625,0.980224609375
session_mix_1.csv,512,0.512,0,0.4139700177761785,0.20181584919580814,0.9277885667587712,1.8259001129659052,3.355576657348869,1.015463252782176,1.1203698668961901,13.823846156230553,100.11060580296349,-0.041015625,0.21435546875,1.0263671875
session_mix_1.csv,768,0.768,0,0.9263345382993521,0.8502420233849837,1.2249162552990858,1.5269683852826608,2.690234709940236,1.0162764760308087,1.1203698668961901,13.03883899744669,100.11060580296349,-0.0634765625,0.20068359375,1.005126953125
session_mix_1.csv,1024,1.024,1,0.5485270477347243,0.6321565442172865,1.1926731602489626,2.6350875465822376,2.739850546770578,1.0204173770673333,1.6277769642973607,40.18027946297741,581.1474105251788,-0.03125,-0.036865234375,1.057861328125
session_mix_1.csv,1280,1.28,1,1.9602552181287207,1.2725946957572734,3.4556949277984597,7.4854075964374385,7.249841034990226,1.0208039121694747,1.6277769642973607,46.529866027451106,581.1474105251788,-0.032470703125,-0.035888671875,1.01904296875
session_mix_1.csv,1536,1.536,0,0.7865726237149099,0.26721822799586886,0.9065430487204599,1.8104912426004884,3.053868654818979,1.0171863586345031,1.202930632905361,25.98883532932564,203.87992982786406,-0.042724609375,-0.086669921875,1.011962890625
session_mix_1.csv,1792,1.792,1,2.6767135611983224,1.1655350629732693,1.896186901034135,3.4295908042875416,2.7480839880164054,1.0340221492051123,2.482631539435427,112.3977760348865,1663.0023001210175,-0.031982421875,0.102294921875,0.969482421875
session_mix_1.csv,2048,2.048,1,13.406466205534397,18.62874848962705,12.674545311133697,9.068589746882378,5.881722912774124,1.021243780667091,2.482631539435427,115.18595529425102,1663.0023001210175,-0.021484375,0.2978515625,0.920654296875
session_mix_1.csv,2304,2.304,0,4.396488656981674,12.393807778107846,10.259314398368566,10.730281782492915,6.187868321628582,1.0156850553486871,1.4011667992207733,43.789368947703,402.0693638924384,-0.092529296875,0.092529296875,1.025634765625
session_mix_1.csv,2560,2.56,0,5.044922093948433,8.477492821989342,12.7576365074239,17.66320567335099,6.545670728635426,1.037506050722287,1.4682351894284453,57.957507524614506,405.85905814604837,0.037841796875,0.12255859375,0.916748046875
